Accession,Geo_Location,Collection_Date
NC_004718,Hong Kong,24/01/2020
MT365028,Hong Kong,24/01/2020
MT365029,Hong Kong,30/01/2020
MT365030,Hong Kong,31/01/2020
MT365031,Hong Kong,02/02/2020
MT365032,Hong Kong,30/01/2020
MT215194,Hong Kong,24/02/2020
MT215195,Hong Kong,25/02/2020
MT270814,Hong Kong,18/03/2020
MT270815,Hong Kong,16/03/2020
MT276600,Hong Kong,08/03/2020
MT186683,Hong Kong,20/01/2020
MT114412,Hong Kong,23/01/2020
MT114413,Hong Kong,24/01/2020
MT114414,Hong Kong,24/01/2020
MT114415,Hong Kong,27/01/2020
MT114416,Hong Kong,27/01/2020
MT114417,Hong Kong,29/01/2020
MT114418,Hong Kong,27/01/2020
MT114419,Hong Kong,29/01/2020
MT230904,Hong Kong,22/01/2020
