Accession,Geo_Location,Collection_Date
NC_004718,Germany: Bavaria,2020-01-28
MT270101,Germany: Bavaria,2020-01-28
MT270102,Germany: Bavaria,2020-01-29
MT270103,Germany: Bavaria,2020-01-28
MT270104,Germany: Bavaria,2020-01
MT270105,Germany: Bavaria,2020-01
MT270106,Germany: Bavaria,2020-02-01
MT270107,Germany: Bavaria,2020-02-03
MT270108,Germany: Bavaria,2020-01
MT270109,Germany: Bavaria,2020-01
MT270110,Germany: Bavaria,2020-02-07
MT270111,Germany: Bavaria,2020-02-08
MT270112,Germany: Bavaria,2020-01-30
MT270113,Germany: Bavaria,2020-02
MT270114,Germany: Bavaria,2020-02
MT358638,Germany,2020-02
MT358639,Germany,2020-02
MT358640,Germany,2020-02
MT358641,Germany,2020-02
MT358642,Germany,2020-02
MT358643,Germany,2020-02
